Kent-Sussex-Wessex	0821	16	SO260	CAT	Canterbury Road Jn – Cambria Jn	3	24	3	68	N	N	N	N	N	
Kent-Sussex-Wessex	0821	17	SO260	CAT	Cambria Jn – Nunhead Jn	3	68	6	09	N	N	N	N	N	
Kent-Sussex-Wessex	0821	18	SO260	CAT	Nunhead Jn – Ravensbourne Jn	6	09	10	44	N	N	N	N	N	
Kent-Sussex-Wessex	0821	19	SO260	RVC	"Ravensbourne Jn – Shortlands Jn via
Ravensbourne Chord"	0	00	0	48	N	N	N	N	N	
Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	150	158	159	165	166 RHM	Notes
Kent-Sussex-Wessex	0822	1	SO260	CAT	Ravensbourne Jn – Shortlands Jn	10	44	10	73	N	N	N	N	N	
Kent-Sussex-Wessex	0822	2	SO280	MCL	"Route Boundary (LN3213) (Kentish
Town Jn) – ELR change (Former
Farringdon Jn)"	0	66	0	00	N	N	N	N	N	
Kent-Sussex-Wessex	0822	3	SO280	FTL	"ELR change (Former Farringdon Jn) –
Snow Hill Tunnel (Change of Mileage)"	0	00	0	39	N	N	N	N	N	
Kent-Sussex-Wessex	0822	4	SO280	HHH	"Snow Hill Tunnel (Change of Mileage)
– Blackfriars"	0	21	0	35	N	N	N	N	N	
Kent-Sussex-Wessex	0822	5	SO280	HHH	Blackfriars – Blackfriars Jn	0	35	0	63	N	N	N	N	N	
Kent-Sussex-Wessex	0822	6	SO280	BMJ	Blackfriars Jn – Metropolitan Jn	0	63	1	14	N	N	N	N	N	
Kent-Sussex-Wessex	0822	7	SO280	HHH	Blackfriars Jn – Loughborough Jn	0	63	3	36	N	N	N	N	N	
Kent-Sussex-Wessex	0822	8	SO280	LTC	Loughborough Jn – Cambria Jn	3	34	3	62	N	N	N	N	N	
Kent-Sussex-Wessex	0822	9	SO280	LOC	"Loughborough Jn – Canterbury Road
Jn"	3	39	3	79	N	N	N	N	N	
Kent-Sussex-Wessex	0822	10	SO280	HHH	"Loughborough Jn – Herne Hill North
Jn"	3	36	4	30	N	N	N	N	N	
Kent-Sussex-Wessex	0822	11	SO290	NKL	"North Kent East Jn (SO130) –
Charlton Jn"	4	25	7	35	N	N	N	N	N	
Kent-Sussex-Wessex	0822	12	SO290	NKL	Charlton Jn – Charlton	7	35	7	44	N	N	N	N	N	
Kent-Sussex-Wessex	0822	13	SO290	NKL	Charlton – Slade Green Jn	7	44	15	36	N	N	N	N	N	
Kent-Sussex-Wessex	0822	14	SO290	NKL	Slade Green Jn – Crayford Creek Jn	15	36	15	66	N	N	N	N	N	
Kent-Sussex-Wessex	0822	15	SO290	NKL	"Crayford Creek Jn – Crayford Spur ‘A’
Jn"	15	66	16	42	N	N	N	N	N	
Kent-Sussex-Wessex	0822	16	SO290	NKL	Crayford Spur ‘A’ Jn – Dartford Jn	16	42	16	75	N	N	N	N	N	
Kent-Sussex-Wessex	0822	17	SO300	BEX	Lewisham Jn – Blackheath Jn	5	74	7	14	N	N	N	N	N	
Kent-Sussex-Wessex	0822	18	SO300	BTC	Blackheath Jn – Charlton Jn	7	14	8	67	N	N	N	N	N	
Kent-Sussex-Wessex	0822	19	SO300	BEX	Blackheath Jn – Perry Street Fork Jn	7	14	15	07	N	N	N	N	N	
Kent-Sussex-Wessex	0822	20	SO300	PSF	Perry Street Fork Jn – Slade Green Jn	15	07	15	31	N	N	N	N	N	
Kent-Sussex-Wessex	0822	21	SO300	BEX	"Perry Street Fork Jn – Crayford Creek
Jn"	15	07	15	66	N	N	N	N	N	
Kent-Sussex-Wessex	0822	22	SO310	HDR	"Hither Green Jn (SO290) – Lee Loop
Jn"	7	16	7	29	N	N	N	N	N	
Kent-Sussex-Wessex	0822	23	SO310	LEE	Lee Loop Jn – Lee Spur Jn	0	00	0	29	N	N	N	N	N	
Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	150	158	159	165	166 RHM	Notes
Kent-Sussex-Wessex	0823	1	SO310	HDR	Lee Loop Jn – Lee	7	29	7	66	N	N	N	N	N	
Kent-Sussex-Wessex	0823	2	SO310	HDR	Lee – Crayford Spur ‘B’ Jcn	7	66	16	11	N	N	N	N	N	
Kent-Sussex-Wessex	0823	3	SO310	CRA	"Crayford Spur ‘B’ Jn – Crayford Spur
‘A’ Jn"	16	11	16	43	N	N	N	N	N	
Kent-Sussex-Wessex	0823	4	SO310	HDR	Crayford Spur ‘B’ Jcn – Dartford Jn	16	11	16	75	N	N	N	N	N	
Kent-Sussex-Wessex	0823	5	SO310	HDR	Dartford Jn – Hoo Jn	16	75	27	19	N	N	N	N	N	
Kent-Sussex-Wessex	0823	6	SO310	HDR	Hoo Jn – Strood Jn	27	19	31	16	N	N	N	N	N	
Kent-Sussex-Wessex	0823	7	SO310	HDR	Strood Jn – Rochester Bridge Jn	31	16	31	34	N	N	N	N	N	
Kent-Sussex-Wessex	0823	8	SO310	PWS2	"Strood Jn – Maidstone West Change
of Mileage"	31	16	42	41	N	N	N	N	N	
Kent-Sussex-Wessex	0823	9	SO320	HTG	"Hoo Jn – Grain LC and Sidings
beyond"	27	19	38	22	N	N	N	N	N	
Kent-Sussex-Wessex	0823	10	SO330	NTL	Nunhead Jn (SO260) – Lewisham Jn	6	09	6	21	N	N	N	N	N	
Kent-Sussex-Wessex	0823	11	SO330	LVT	"Tanners Hill Jn (SO130) – Lewisham
Jn"	5	29	5	55	N	N	N	N	N	
Kent-Sussex-Wessex	0823	12	SO330	BEX	St Johns Jn (SO130) – Lewisham Jn	5	54	5	74	N	N	N	N	N	
Kent-Sussex-Wessex	0823	13	SO330	LCH	"Lewisham Jn – Courthill Loop North
Jn"	5	74	6	21	N	N	N	N	N	
Kent-Sussex-Wessex	0823	14	SO330	NCS	"Courthill Loop North Jn – Courthill
Loop South Jn"	6	21	6	43	N	N	N	N	N	
Kent-Sussex-Wessex	0823	15	SO330	LCH	Courthill Loop North Jn – Ladywell Jn	6	21	6	41	N	N	N	N	N	
Kent-Sussex-Wessex	0823	16	SO330	LCH	Ladywell Jn – New Beckenham Jn	6	41	9	51	N	N	N	N	N	
Kent-Sussex-Wessex	0823	17	SO330	NBB	New Beckenham Jn – Beckenham Jn	9	51	10	04	N	N	N	N	N	
Kent-Sussex-Wessex	0823	18	SO330	LCH	New Beckenham Jn – Hayes	9	51	14	32	N	N	N	N	N	
Kent-Sussex-Wessex	0823	19	SO350	BNG	Grove Park (SO130) – Bromley North	8	87	10	47	N	N	N	N	N	
Kent-Sussex-Wessex	0823	20	SO500	VTB1	"Victoria platforms 9-19 – Battersea
Pier Jn"	0	00	0	71	N	N	N	N	N	
Kent-Sussex-Wessex	0823	21	SO500	VTB1	Battersea Pier Jn – Battersea Park Jn	0	71	1	13	N	N	N	N	N	
Kent-Sussex-Wessex	0823	22	SO500	VTB1	Battersea Park Jn – Pouparts Jn	1	13	2	03	N	N	N	N	N	
Kent-Sussex-Wessex	0823	23	SO500	VTB1	Pouparts Jn – Falcon Jn	2	03	2	66	N	N	N	N	N	
Kent-Sussex-Wessex	0823	24	SO500	WLL	"Falcon Jn – Latchmere No1 Jn via
Clapham Jn platforms 16 and 17"	0	00	0	63	R1	N	N	N	N	"R1OPPOS applies between crossover VC289
points and Falcon Jn VC290/292 points"
Kent-Sussex-Wessex	0823	25	SO500	VTB1	Falcon Jn – Balham Jn	2	66	4	69	N	N	N	N	N	
Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	150	158	159	165	166 RHM	Notes
Kent-Sussex-Wessex	0824	1	SO500	VTB1	Balham Jn – Streatham North Jn	4	69	6	14	N	N	N	N	N	
Kent-Sussex-Wessex	0824	2	SO500	SNS	"Streatham North Jn – Streatham
South Jn via Reversible Fast Spur"	6	16	6	35	N	N	N	N	N	
Kent-Sussex-Wessex	0824	3	SO500	SLJ	"Streatham North Jn – Streatham
South Jn via Slow Spurs"	6	14	6	38	N	N	N	N	N	
Kent-Sussex-Wessex	0824	4	SO500	VTB1	Streatham North Jn – Selhurst Jn	6	14	9	43	N	N	N	N	N	
Kent-Sussex-Wessex	0824	5	SO500	WCS	Selhurst Jn – Gloucester Road Jn	9	44	9	62	N	N	N	N	N	
Kent-Sussex-Wessex	0824	6	SO500	VTB1	Selhurst Jn – Windmill Bridge Jn	9	43	10	12	N	N	N	N	N	
