Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	150	153	156	158	165	166	168	170	Notes
Anglia	0361	13	EA1161	BGK	"(Cannons Mill Lane Footpath LC (R/G-
X) Stansted Mountfitchet – Shepreth
Branch Jn"	31	31	53	06	Y	Y	Y	Y	N	N	N	Y	
Anglia	0361	14	EA1161	BGK	Shepreth Branch Jn – Ely Dock Jn	53	06	69	79	Y	Y	Y	Y	N	N	N	Y	
Anglia	0361	15	EA1161	BGK	Ely Dock Jn – Ely North Jn	69	79	71	68	Y	R1	Y	Y	N	N	N	Y	"R1Prohibited through Ely platform 3 with deflated
suspension"
Anglia	0361	16	EA1162	BGK	Ely North Jn – Kings Lynn	71	68	96	75	Y	N	N	N	N	N	N	N	
Anglia	0361	17	EA1170	HDT	"Hackney Downs North Jn – Seven
Sisters Jn"	3	04	5	70	Y	N	N	N	N	N	N	Y	
Anglia	0361	18	EA1170	HDT	Seven Sisters Jn – Bury Street Jn	5	70	9	20	N	N	N	N	N	N	N	Y	
Anglia	0361	19	EA1170	ENT	Bury Street Jn – Enfield Town	9	20	10	55	N	N	N	N	N	N	N	Y	
Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	150	153	156	158	165	166	168	170	Notes
Anglia	0362	1	EA1180	GRE	"Reading Lane Jn – Navarino Road Jn
(Graham Rd Curve)"	2	55	2	79	N	N	N	N	N	N	N	Y	
Anglia	0362	2	EA1190	HDT	Bury Street Jn – Cheshunt Jn	9	20	14	28	N	N	N	N	N	N	N	Y	
Anglia	0362	3	EA1200	CJC	Clapton Jn – Chingford	4	37	10	33	N	N	N	N	N	N	N	N	
Anglia	0362	4	EA1210	HEB	Broxbourne Jn – Hertford East	18	35	24	19	N	N	N	N	N	N	N	N	
Anglia	0362	5	EA1220	TLA	Stansted South Jn – Stansted East Jn	33	54	34	26	Y	Y	Y	Y	N	N	N	Y	
Anglia	0362	6	EA1220	TEN	Stansted North Jn – Stansted East Jn	0	00	0	49	Y	Y	Y	Y	N	N	N	Y	
Anglia	0362	7	EA1220	TLA	Stansted East Jn –Stansted Airport	34	26	36	67	R1	N	R1	R1	N	N	N	R1	"R1Stansted Airport platforms 1 and 3 diesel
traction see Sectional Appendix Local
Instructions"
Anglia	0362	8	EA1230	SBR	"Route Boundary (LN125) (Royston) –
Shepreth Branch Jn"	45	60	55	26	N	Y	Y	Y	N	N	N	E	
Anglia	0362	9	EA1270	MIT	Kings Lynn Jn – Middleton towers	0	22	3	44	N	N	N	N	N	N	N	N	
Anglia	0362	10	EA1270	MIT	"Kings Lynn Jn – Kings Lynn Yard
branch end"	0	22	0	00	N	N	N	N	N	N	N	N	
Anglia	0362	11	EA1280	SDC	"Stratford Central Jn East – Temple
Mills East Jn. (Via Platforms 11 & 12
at Stratford)"	3	76	4	45	N	N	N	N	N	N	N	N	
Anglia	0362	12	EA1280	SDC	Temple Mills East Jn – Coppermill Jn	4	45	7	14	Y	N	N	N	E	E	N	Y	
Anglia	0362	13	EA1290	TSE2	"Tottenham South Jn – Change of
mileage"	5	41	5	54	N	N	N	N	E	E	N	Y	
Anglia	0362	14	EA1290	TSE1	"Change of mileage – South
Tottenham East Jn"	6	22	5	73	N	N	N	N	E	E	N	Y	
Anglia	0362	15	EA1300	SSL	"South Tottenham West Jn – Seven
Sisters Jn"	0	13	0	00	N	N	N	N	N	N	N	Y	
Anglia	0362	16	EA1310	BOK2	"Camden Road West Jn – Gospel Oak
Jn"	0	00	1	10	Y	N	N	N	E	E	"E
R1"	Y	R1Prohibited with deflated suspension
Anglia	0362	17	EA1310	BOK2	Gospel Oak Jn – Kensal Green Jn	1	10	5	10	Y	N	N	N	"E
R1"	E	"E
R2"	Y	"R1Route prohibited to Class 165/1
R2Prohibited with deflated suspension"
Anglia	0362	18	EA1310	KGC	"Kensal Green Jn – Route Boundary
(MD155) (Harlesden Jn)"	0	00	0	21	Y	N	N	N	N	N	N	N	
Anglia	0362	19	EA1310	KGW	"Kensal Green Jn – Route Boundary
(MD150) (Willesden Suburban Jn)"	5	10	5	25	Y	N	N	N	"E
R1"	N	E	N	R1Route prohibited to Class 165/1
Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	150	153	156	158	165	166	168	170	Notes
Anglia	0363	1	EA1310	BOK3	"Kensal Green Jn – Willesden High
Level Jn"	5	10	5	48	Y	N	N	N	"E
R1"	E	"E
R2"	Y	"R1Route prohibited to Class 165/1
R2Prohibited with deflated suspension"
Anglia	0363	2	EA1310	WMB	"Willesden High Level Jn – Route
Boundary (MD160) (Mitre Bridge Jn)"	0	43	0	09	Y	N	N	N	N	N	N	N	
Anglia	0363	3	EA1310	BOK4	"Willesden High Level Jn – Former Old
Oak Jn (change of mileage)"	0	00	0	34	Y	N	N	N	"E
R1"	E	"E
R2"	Y	"R1Route Prohibited to Class 165/1
R2Prohibited with deflated suspension"
Anglia	0363	4	EA1310	BOK4	"Former Old Oak Jn (change of
mileage) – Acton Wells Jn
(Connection EA1360)"	0	34	0	66	Y	N	N	N	"E
R1"	E	"E
R2"	Y	"R1Route Prohibited to Class 165/1
R2Prohibited with deflated suspension"
Anglia	0363	5	EA1310	BOK5	"Acton Wells Jn (Connection to
EA1360) – Acton Wells Jn (Connecton
to GW130)"	0	66	0	72	Y	N	N	N	"E
R1"	E	"E
R2"	Y	"R1Route Prohibited to Class 165/1
R2Prohibited with deflated suspension"
Anglia	0363	6	EA1310	AWL	"Acton Wells Jn – Route Boundary
(GW130) (Acton East Jn)"	0	49	0	39	Y	N	N	Y	"E
R1"	E	E	N	R1Route prohibited to Class 165/1
Anglia	0363	7	EA1310	BOK5	"Acton Wells Jn (Connecton to
GW130) – Acton Central (Limit of AC)"	0	72	1	73	Y	N	N	N	N	N	N	Y	
Anglia	0363	8	EA1310	BOK5	"Acton Central (Limit of AC) – South
Acton Jn"	1	73	2	52	Y	N	N	N	N	N	N	Y	
Anglia	0363	9	EA1310	SAR1	South Acton Jn – Gunnersbury Jn	2	52	3	12	Y	N	N	N	N	N	N	Y	
Anglia	0363	10	EA1310	SAR2	Gunnersbury Jn – Richmond	9	72	12	39	Y	N	N	N	N	N	N	Y	
Anglia	0363	11	EA1320	"CRC1
/2"	"Route Boundary (MD145) (Camden
Jn) – Camden Road West Jn"	5	42	5	10	Y	N	N	N	N	N	N	Y	
