Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	121	142	143	150	153	155	156	158	159	Notes
Western-and-Wales	0687	3	GW174	WEL1	West Ealing Jn – Drayton Green Jn	6	56	7	03	E	E	E	E	E	E	E	N	N	
Western-and-Wales	0687	4	GW174	WEL1	Drayton Green Jn – Greenford South Jn	7	03	8	45	E	E	E	E	E	E	E	N	N	
Western-and-Wales	0687	5	GW174	WEL1	"Greenford South Jn – Greenford LUL
Bay Jn"	8	45	8	65	E	E	E	E	E	E	E	N	N	
Western-and-Wales	0687	6	GW174	WEL1	"Greenford LUL Bay Jn – Greenford
West Jn"	8	65	8	76	E	E	E	E	E	E	E	N	N	
Western-and-Wales	0687	7	GW175	WEL2	"Greenford LUL Bay Jn – Greenford
Station"	8	65	9	06	N	N	N	N	N	N	N	N	N	
Western-and-Wales	0687	8	GW176	HAN	Hanwell Jn – Drayton Green Jn	0	00	0	36	E	E	E	E	E	E	E	N	N	
Western-and-Wales	0687	9	GW178	BRB	Southall – Brentford Goods	0	00	2	70	N	N	N	N	N	N	N	N	N	
Western-and-Wales	0687	10	GW180	HLL	"Heathrow Airport Jn (Up and Down
Main) – NR Boundary (BAA)"	11	04	12	27	N	N	N	N	N	N	N	N	N	
Western-and-Wales	0687	11	GW182	STA	"West Drayton Jn – End of Branch
(Colnbrook)"	13	31	16	25	N	N	N	N	N	N	N	N	N	
Western-and-Wales	0687	12	GW184	WIN	Slough – Windsor & Eton Central	18	36	21	19	E	N	N	E	N	N	N	N	N	
Western-and-Wales	0687	13	GW185	WBB	Maidenhead – Bourne End	24	19	28	55	E	N	N	E	N	N	N	N	N	
Western-and-Wales	0687	14	GW185	MWB	Bourne End GF – Marlow	0	06	2	54	E	N	N	E	N	N	N	N	N	
Western-and-Wales	0687	15	GW187	HEN	Twyford – Henley-on-Thames	31	01	35	48	E	N	N	E	N	N	N	N	N	
Western-and-Wales	0687	16	GW190	RNJ	"Route Boundary (SW210) (Reading
Spur Jn) – Reading New Jn"	68	00	68	35	E	E	E	Y	E	E	E	E	E	
Western-and-Wales	0687	17	GW195	RLL	Reading Southern Jn – Reading East Jn	35	33	35	61	N	N	N	E	N	N	N	N	N	
Western-and-Wales	0687	18	GW200	DCL	"Chester Line Jn – Route Boundary
(MD401) (Heyford)"	53	12	75	00	E	E	E	E	E	E	E	E	E	
Western-and-Wales	0687	19	GW220	RWC	"Reading, Oxford Road Jn – Reading
West Jn"	0	43	0	02	E	E	E	Y	E	E	E	E	E	
Western-and-Wales	0687	20	GW225	RFR	Caversham Road Jn – Oxford Road Jn	36	25	36	74	N	N	N	Y	N	N	N	Y	Y	
Western-and-Wales	0687	21	GW240	DEC	Didcot East Jn – Didcot North Jns	52	66	54	00	E	E	E	E	E	E	E	E	E	
Western-and-Wales	0687	22	GW250	DWC	Foxhall Jn – Didcot West Curve Jn	0	01	0	32	E	E	E	E	E	E	E	E	E	
Western-and-Wales	0687	23	GW260	THA	Kennington Jn – Morris Cowley	18	45	16	04	N	N	N	N	N	N	N	N	N	
Western-and-Wales	0687	24	GW277	OXD	"Oxford North Jn – Route Boundary
(MD736) (29m 25ch)"	30	09	29	25	Y	Y	Y	Y	E	E	Y	Y	Y	
Western-and-Wales	0687	25	GW300	ABW	Abbotswood Jn – Norton Jn	0	00	0	62	E	Y	Y	Y	Y	E	E	Y	Y	
Western-and-Wales	0687	26	GW300	OWW	Norton Jn – Shrub Hill Jn	117	26	120	46	E	Y	Y	Y	Y	E	E	Y	Y	
Western-and-Wales	0687	27	GW300	OWW	Shrub Hill Jn – Droitwich Spa Jn	120	46	126	21	E	Y	Y	Y	Y	E	E	Y	Y	
Western-and-Wales	0687	28	GW300	STO	Droitwich Spa Jn – Stoke Works Jn	126	21	130	25	E	Y	Y	Y	Y	E	E	Y	Y	
Western-and-Wales	0687	29	GW310	OWW	Wolvercot Jn – Norton Jn	66	32	117	26	E	Y	Y	Y	Y	E	E	Y	Y	
Western-and-Wales	0687	30	GW317	OWW	"Honeybourne Stratford Line Junction –
Start of branch mileage"	102	06	101	31	N	N	N	N	N	N	N	N	N	
Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	121	142	143	150	153	155	156	158	159	Notes
Western-and-Wales	0688	1	GW317	STD	"Start of branch mileage – Long
Marston"	0	00	2	70	N	N	N	N	N	N	N	N	N	
Western-and-Wales	0688	2	GW340	WAH	"Shrub Hill Jn – Henwick SB (Branch
Single)"	120	46	121	65	E	Y	Y	Y	Y	E	E	Y	Y	
Western-and-Wales	0688	3	GW340	WAH	Henwick SB – Shelwick Jn	120	46	148	11	E	Y	Y	Y	Y	E	E	Y	Y	
Western-and-Wales	0688	4	GW350	BLW	"Worcester Tunnel Jn – Site of former
Rainbow Hill Jn Change of ELR"	0	30	0	00	E	Y	Y	Y	Y	E	E	Y	Y	
Western-and-Wales	0688	5	GW350	WAH	"Site of former Rainbow Hill Jn
Change of ELR – Henwick SB
(Droitwich Single)"	120	64	121	65	E	Y	Y	Y	Y	E	E	Y	Y	
Western-and-Wales	0688	6	GW370	OWW	"Droitwich Spa – Route Boundary
(MD430) (Kidderminster)"	126	21	130	40	E	Y	Y	Y	Y	E	E	Y	Y	
Western-and-Wales	0688	7	GW401	BAG2	"Route Boundary (MD306)
(Ashchurch) – Gloucester Barnwood
Jn (Change of ELR)"	77	40	92	21	E	Y	Y	Y	Y	E	E	Y	Y	
Western-and-Wales	0688	8	GW401	CHL	"Gloucester Barnwood Jn (Change of
ELR) – Gloucester Yard Jn (Change
of ELR)"	92	21	93	08	E	Y	Y	Y	Y	E	E	Y	Y	
Western-and-Wales	0688	9	GW401	BGL1	"Gloucester Yard Jn (Change of ELR)
– Change of ELR"	93	08	94	10	E	Y	Y	Y	Y	E	E	Y	Y	
Western-and-Wales	0688	10	GW401	BGL2	Change of ELR – Standish Jn	94	60	99	69	E	Y	Y	Y	Y	E	E	Y	Y	
Western-and-Wales	0688	11	GW401	BGL2	"Standish Jn – Yate South Jn (Change
of ELR)"	99	69	120	03	E	Y	Y	Y	Y	E	E	Y	Y	
Western-and-Wales	0688	12	GW401	YAT	"Yate South Jn (Change of ELR) –
Westerleigh Jn"	120	03	121	28	E	Y	Y	Y	Y	E	E	Y	Y	
Western-and-Wales	0688	13	GW425	"SAW/
SSS"	"Berkeley Road Jn – Sharpness
(Network Rail Boundary)"	0	04	3	69	N	N	N	N	N	N	N	N	N	
Western-and-Wales	0688	14	GW430	THO	Yate Middle Jn – Tytherington	0	00	6	24	E	Y	Y	Y	Y	N	N	Y	Y	
Western-and-Wales	0688	15	GW440	BGL2	Yate South Jn – Westerleigh Yard	120	03	122	65	N	N	N	N	N	N	N	N	N	
Western-and-Wales	0688	16	GW450	FEC	"Stoke Gifford Jn No.1 – Change of
ELR"	111	79	113	01	E	Y	Y	Y	Y	N	N	Y	Y	
Western-and-Wales	0688	17	GW450	BSW	Change of ELR – Bristol East Jn	4	50	0	26	E	Y	Y	Y	Y	N	N	Y	Y	
Western-and-Wales	0688	18	GW4501	AFR	"Stoke Gifford Jn No.2 – Hallen Marsh
Jn (Change of ELR)"	112	05	118	42	E	Y	Y	Y	Y	N	N	Y	Y	
Western-and-Wales	0688	19	GW4501	AMB	"Hallen Marsh Jn (Change of ELR) –
Holesmouth Jn"	14	38	14	60	E	Y	Y	Y	Y	N	N	Y	Y	
Western-and-Wales	0688	20	GW4501	AMB	"Holesmouth Jn – Avonmouth (Bristol
Bulk Handling Terminal)"	14	60	15	40	N	N	N	N	N	N	N	N	N	
Western-and-Wales	0688	21	GW451	FWC	Filton Jn No 2 – Filton West Jn No.2	4	66	5	41	E	Y	Y	Y	Y	N	N	Y	Y	
Western-and-Wales	0688	22	GW454	AMB	"Severn Beach – St Andrews Jn
(Change of ELR)"	11	64	16	00	E	Y	Y	Y	Y	N	N	R1	R1	R115mph Severn Beach platform
Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	121	142	143	150	153	155	156	158	159	Notes
Western-and-Wales	0689	1	GW454	CNX	"St Andrews Jn (Change of ELR) –
Narroways Hill Jn"	9	32	2	03	E	Y	Y	Y	Y	N	N	R1	R1	R115mph Avonmouth platforms
Western-and-Wales	0689	2	GW480	SWM1	Swindon Jn – Standish Jn	77	36	106	74	E	Y	Y	Y	Y	E	E	R1	R1	R1Prohibited Kemble Tamper Siding
Western-and-Wales	0689	3	GW490	SWM2	"Gloucester Yard Jn – Horton Road
Jn"	113	03	113	61	E	Y	Y	Y	Y	E	E	Y	Y	
Western-and-Wales	0689	4	GW500	BKE	Westbury Line Jn – Oxford Road Jn	36	17	36	67	E	E	E	Y	E	E	E	E	E	
Western-and-Wales	0689	5	GW500	BKE	Oxford Road Jn – Southcote Jn	36	67	37	62	E	E	E	Y	E	E	E	E	E	
Western-and-Wales	0689	6	GW500	BKE	"Southcote Jn – Route Boundary
(SW125) (Basingstoke)"	37	62	37	76	E	E	E	Y	E	E	E	E	E	
Western-and-Wales	0689	7	GW500	BHL	Southcote Jn – Change of ELR	37	62	81	19	E	E	E	E	N	N	N	E	E	
Western-and-Wales	0689	8	GW500	SWY	"Change of ELR – Heywood Road Jn
(Change of ELR)"	81	19	94	44	E	E	E	E	E	E	E	E	E	
Western-and-Wales	0689	9	GW500	WES	"Heywood Road Jn (Change of ELR)
– Fairwood Jn (Change of ELR) (via
Westbury Avoiding Lines)"	94	44	97	02	E	Y	Y	Y	Y	N	N	Y	Y	
Western-and-Wales	0689	10	GW500	WEY	"Fairwood Jn (Change of ELR) – Clink
Road Jn (Change of ELR)"	111	18	114	44	E	Y	Y	Y	Y	N	N	Y	Y	
Western-and-Wales	0689	11	GW500	FRA	"Clink Road Jn (Change of ELR) –
Blatchbridge Jn (Change of ELR)"	114	44	116	37	E	Y	Y	Y	Y	N	N	Y	Y	
Western-and-Wales	0689	12	GW500	WEY	"Blatchbridge Jn (Change of ELR) –
Castle Cary Jn"	116	52	129	50	E	Y	Y	Y	Y	N	N	Y	Y	
Western-and-Wales	0689	13	GW500	WEY	"Castle Cary Jn – Route Boundary
(SW175) (Yeovil Pen Mill Jn)"	129	50	130	00	E	Y	Y	Y	Y	N	N	Y	Y	
Western-and-Wales	0689	14	GW500	CCL	Castle Cary Jn – Cogload Jn (Down)	115	32	138	30	E	Y	Y	Y	Y	N	N	Y	Y	
Western-and-Wales	0689	15	GW5001	SAL	"Route Boundary (SW170) (Wilton Jn)
– Westbury South Jn"	115	40	110	07	E	Y	Y	Y	Y	N	N	Y	Y	
Western-and-Wales	0689	16	GW510	WEY	Westbury North Jn – Bradford Jn	109	49	104	40	E	Y	Y	Y	Y	N	N	Y	Y	
Western-and-Wales	0689	17	GW510	BFB	Bradford Jn – Bathampton Jn	9	12	0	00	E	Y	Y	Y	Y	N	N	Y	Y	
Western-and-Wales	0689	18	GW520	WYL	"Westbury East Loop Jn –
Hawkeridge Jn"	94	77	95	32	E	Y	Y	Y	Y	N	N	Y	Y	
Western-and-Wales	0689	19	GW523	WEY	Thingley Jn – Bradford Jn	96	10	104	40	E	Y	Y	Y	Y	N	N	Y	Y	
Western-and-Wales	0689	20	GW528	BRL	"North Somerset Jn – Bristol West Jn
via St Philips Marsh"	0	00	1	08	E	Y	Y	Y	Y	N	N	Y	Y	
Western-and-Wales	0689	21	GW530	BLL	"Feeder Bridge Jn – Dr Day’s Jn
(Rhubarb Loop)"	117	50	117	73	E	Y	Y	Y	Y	N	N	Y	Y	
Western-and-Wales	0689	22	GW540	BSW	Filton Jn No.1 – Patchway Jn No.2	4	40	5	61	E	Y	Y	Y	Y	N	N	Y	Y	
Western-and-Wales	0689	23	GW5401	PAC	"Filton West Jn No.1 – Patchway Jn
No.1"	0	40	0	00	E	Y	Y	Y	Y	N	N	Y	Y	
Western-and-Wales	0689	24	GW548	"POD/
PBY"	"Parson Street Jn – Network Rail
boundary (BPC)"	120	28	126	34	N	N	N	N	N	N	N	N	N	
Western-and-Wales	0689	25	GW560	SWY	"Heywood Road Jn – Westbury North
Jn"	94	45	95	33	E	Y	Y	Y	Y	Y	Y	Y	Y	
Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	121	142	143	150	153	155	156	158	159	Notes
Western-and-Wales	0690	1	GW560	SWY	"Heywood Road Jn – Westbury North
Jn"	94	45	95	33	E	Y	Y	Y	Y	N	N	Y	Y	
Western-and-Wales	0690	2	GW560	WEY	"Westbury North Jn – Fairwood Jn via
Westbury"	109	49	111	18	E	Y	Y	Y	Y	N	N	Y	R1	"R1 Prohibited Westbury Down Reception line
between signal W202 and points 858"
Western-and-Wales	0690	3	GW570	WEY	"Clink Road Jn – Blatchbridge Jn via
Frome"	114	44	116	52	E	Y	Y	Y	Y	N	N	Y	Y	
Western-and-Wales	0690	4	GW572	FNS2	Frome North Jn – Change of ELR	0	00	2	38	N	N	N	N	N	N	N	N	N	
Western-and-Wales	0690	5	GW572	WQL	"Change of ELR – Network Rail
Boundary (Mendip Rail - Whatley
Quarry)"	2	38	2	40	N	N	N	N	N	N	N	N	N	
Western-and-Wales	0690	6	GW580	ESB	"East Somerset Jn – Network Rail
Boundary (East Somerset Railway -
Cranmore East)"	0	11	5	48	E	Y	Y	Y	Y	N	N	N	N	
Western-and-Wales	0690	7	GW600	SWB	"Wootton Bassett Jn – Stoke Gifford Jn
No.1"	83	07	111	79	E	Y	Y	Y	Y	E	E	Y	Y	
Western-and-Wales	0690	8	GW600	SWB	"Stoke Gifford Jn No.1 – Patchway Jn
No.2"	111	79	112	68	E	Y	Y	Y	Y	E	E	Y	Y	
Western-and-Wales	0690	9	GW600	BSW	"Patchway Jn No.2 – Route Boundary
Wales"	5	61	9	12	E	Y	Y	Y	Y	E	E	Y	Y	
Western-and-Wales	0690	10	GW600	BSW	"Route Boundary – Ableton Lane
Tunnel (GW900)"	9	12	10	51	E	Y	Y	Y	Y	E	E	Y	Y	
Western-and-Wales	0690	11	GW606	DAC	Cowley Bridge Jn – Crediton SB	173	50	179	26	E	Y	Y	Y	Y	N	N	Y	Y	
Western-and-Wales	0690	12	GW606	NDN	"Crediton SB – End of Line
(Barnstaple)"	179	26	211	31	E	Y	Y	Y	Y	N	N	Y	Y	
Western-and-Wales	0690	13	GW608	DAC	"Crediton SB – Network Rail Boundary
(Dartmoor Railway - Coleford)"	179	26	183	79	E	Y	Y	Y	Y	N	N	N	N	
Western-and-Wales	0690	14	GW610	BAE2	"Route Boundary (SW115) (Honiton) –
Exeter St Davids Jn"	164	30	172	04	E	Y	Y	Y	Y	N	N	Y	Y	
Western-and-Wales	0690	15	GW611	EMT	Exmouth Jn – Exmouth	0	01	9	32	E	Y	Y	Y	Y	N	N	Y	Y	
Western-and-Wales	0690	16	GW618	MOB	"Newton Abbott East Jn – End of Line
(Beyond Heathfield)"	0	14	4	07	N	N	N	Y	N	N	N	N	N	
Western-and-Wales	0690	17	GW620	TOR	"Newton Abbott West Jn – Paignton
Crossover Ground Frame"	214	43	222	25	E	Y	Y	Y	Y	N	N	Y	Y	
Western-and-Wales	0690	18	GW628	SUT1	Laira Jn – Speedway Jn	244	02	244	30	E	Y	Y	Y	Y	N	N	Y	Y	
Western-and-Wales	0690	19	GW628	PLO	Lipson Jn – Speedway Jn	0	00	0	22	E	Y	Y	Y	Y	N	N	Y	Y	
Western-and-Wales	0690	20	GW628	SUT1	Speedway Jn – Mount Gould Jn	244	30	244	43	E	Y	Y	Y	Y	N	N	Y	Y	
Western-and-Wales	0690	21	GW628	SUT2	Mount Gould Jn – Former Friary Jn	244	41	244	60	N	N	Y	Y	Y	N	N	Y	Y	
Western-and-Wales	0690	22	GW628	FRY	"Former Friary Jn – Turnchapel Branch
Jn"	244	60	245	17	N	N	Y	Y	Y	N	N	R1	R1	"R1Prohibited beyond Class 158 stop board
(245m 13 ch) (A maximum of 3 x 158/9
car lengths can be accommodated)"
Western-and-Wales	0690	23	GW628	"TUR/
CWR"	Turnchapel Branch Jn – Buffer Stops	0	00	0	78	N	N	N	R1	N	N	N	N	N	"R1Prior to operation the method of working
shall be agreed with the local
Infrastructure Manager’s operations team"
Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	121	142	143	150	153	155	156	158	159	Notes
Western-and-Wales	0691	1	GW628	FRY	"Turnchapel Branch Jn – Plymouth
Friary"	245	17	245	40	N	N	N	Y	N	N	N	N	N	
Western-and-Wales	0691	2	GW637	DAC	"St Budeaux Jn – Buffer Stops (Beyond
Bere Alston)"	227	22	219	75	E	N	N	Y	Y	N	N	R1	R1	"R1Prohibited between St Budeaux
Victoria Road Station and Buffer
Stops (Beyond Bere Alston)"
Western-and-Wales	0691	3	GW637	CAL	Bere Alston Jn – Gunnislake	0	02	4	40	E	N	N	Y	R1	N	N	N	N	"R1Prohibited from working in multiple.
In the event of failure it shall be
repaired in situ. If unable to repair
assistance shall only be provided by
a Class 150 under the supervision of
the Railway Undertaking"
Western-and-Wales	0691	4	GW640	LIL	Liskeard – Coombe Jn	8	67	6	75	E	N	N	Y	R1	N	N	N	N	"R1Prohibited from working in multiple.
In the event of failure it shall be
repaired in situ. If unable to repair
assistance shall only be provided by
a Class 150 under the supervision of
the Railway Undertaking"
Western-and-Wales	0691	5	GW640	LOO	Coombe Jn – Looe	6	52	0	19	E	N	N	Y	R1	N	N	N	N	"R1Prohibited from working in multiple.
In the event of failure it shall be
repaired in situ. If unable to repair
assistance shall only be provided by
a Class 150 under the supervision of
the Railway Undertaking"
Western-and-Wales	0691	6	GW640	LOO	Coombe Jn – Coombe No.2 GF	6	52	6	66	E	N	N	Y	R1	N	N	N	N	"R1Prohibited from working in multiple.
In the event of failure it shall be
repaired in situ. If unable to repair
assistance shall only be provided by
a Class 150 under the supervision of
the Railway Undertaking"
Western-and-Wales	0691	7	GW642	LOO	"Coombe No.2 GF – Network Rail
Boundary (Moorswater)"	6	66	7	20	N	N	N	N	N	N	N	N	N	
Western-and-Wales	0691	8	GW650	LOF	"Lostwithiel – Network Rail Boundary
(Carne Point)"	277	54	281	59	N	N	N	N	N	N	N	N	N	
Western-and-Wales	0691	9	GW660	PAR	Par Loop Jn – St Blazey Jn	281	57	282	16	E	N	N	Y	Y	N	N	Y	Y	
Western-and-Wales	0691	10	GW660	NEW	St Blazey Jn – Newquay	282	16	302	49	E	N	N	Y	Y	N	N	N	N	
Western-and-Wales	0691	11	GW672	SDS	Burngullow Jn – Drinnick Mill	288	26	291	31	N	N	N	N	N	N	N	N	N	
Western-and-Wales	0691	12	GW672	SDS	Drinnick Mill – Parkandillack	291	31	293	52	N	N	N	N	N	N	N	N	N	
Western-and-Wales	0691	13	GW680	"FAL1-
3"	Penwithers Jn – Falmouth	301	25	312	46	E	N	N	Y	Y	N	N	Y	Y	
Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	121	142	143	150	153	155	156	158	159	Notes
