London-North-Eastern	0985	13	LN700	BWO2	Butterwell Jn – Signal B1	0	00	0	48	N	N	N	N	N	N	N	N	N	
London-North-Eastern	0985	14	LN702	BWC	"Bedlington North –  Network Rail Boundary
(Lynemouth Colliery)"	0	00	4	14	N	N	N	N	N	N	N	N	N	
London-North-Eastern	0985	15	LN704	ISC	"Newsham North Jn – Network Rail Boundary
(Blyth Bates Terminal)"	0	00	0	36	N	N	N	N	N	N	N	N	N	"Line out of use
NME/2010/LNE/006 and NME/2010/LNE009"
London-North-Eastern	0985	16	LN706	WSB	West Sleekburn Jn – North Blyth	0	00	3	22	N	N	N	N	N	N	N	N	N	
London-North-Eastern	0985	17	LN708	MWJ	Winning Jn – Marchey's House Jn	0	31	0	00	N	N	N	N	N	N	N	N	N	
London-North-Eastern	0985	18	LN724	HOS	Holgate Jn –  Skelton Jn via York Yard South	0	00	1	54	Y	Y	Y	Y	Y	Y	Y	Y	Y	
London-North-Eastern	0985	19	LN736	MAC3	Cleethorpes – Grimsby Docks	112	40	110	11	Y	Y	Y	Y	Y	R1	Y	Y	N	R1Prohibited Cleethorpes platform 1
London-North-Eastern	0985	20	LN736	MAC3	Grimsby Docks – Marsh West Jn	110	11	107	69	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Eastern	0985	21	LN736	MAC3	Marsh West Jn – Wrawby Jn	107	69	94	12	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Eastern	0985	22	LN736	MAC3	Wrawby Jn – West Burton East Jn	94	12	72	18	Y	Y	Y	Y	Y	Y	Y	Y	N	
Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	142	143	144	150	153	155	156	158	159	Notes
London-North-Eastern	0986	1	LN736	MAC3	"West Burton East Jn –  Thrumpton West Jn
(Up)"	72	18	63	28	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Eastern	0986	2	LN736	MAC3	Thrumpton West Jn (Up) – Manton Wood	63	28	58	54	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Eastern	0986	3	LN736	MAC3	Manton Wood – Brancliffe East Jn	58	54	53	57	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Eastern	0986	4	LN736	MAC3	Brancliffe East Jn – Woodburn Jn	53	57	42	29	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Eastern	0986	5	LN736	NUJ2	Woodburn Jn – Site of Former Nunnery Jn	42	29	41	68	Y	Y	Y	Y	Y	Y	Y	Y	N	
