London-North-Western-North	0821	3	NW4031	GSW	"Gretna Jn – Route Boundary (SC031)
(Eastriggs)"	116	13	115	40	Y	Y	Y	Y	Y	Y	Y	Y	N	N	
London-North-Western-North	0821	4	NW4033	CBC1	Carnforth North Jn – Carnforth Station Jn	0	19	0	38	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0821	5	NW4033	CBC1	"Carnforth Station Jn – Limit of
Electrification (Carnforth)"	0	38	0	60	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0821	6	NW4033	CBC1	"Limit of Electrification (Carnforth) -
Whitehaven"	0	60	74	66	Y	Y	Y	Y	Y	Y	Y	Y	R1	N	"R1Prohibited between Barrow-In-Furness
and Whitehaven"
London-North-Western-North	0821	7	NW4033	CBC1	Whitehaven - Bransty SB (Change of ELR)	74	66	74	73	Y	Y	Y	Y	Y	Y	Y	Y	N	N	
London-North-Western-North	0821	8	NW4033	CBC2	"Bransty SB (Change of ELR) – Change of
ELR (Maryport)"	0	16	12	05	Y	Y	Y	Y	Y	Y	Y	Y	N	N	
London-North-Western-North	0821	9	NW4033	CBC3	"Change of ELR (Maryport) – Carlisle South
Jn"	0	00	27	49	R1	Y	Y	Y	R1	Y	Y	Y	N	N	"R1Prohibited between Maryport and
Carlisle South Jn"
London-North-Western-North	0821	10	NW4041	DAP	Dalton Jn – Park South Jn	0	00	0	76	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0821	11	NW5001	CMP1	Crewe North Jn – Sandbach North Jn	158	17	162	62	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0821	12	NW5001	CMP1	Sandbach North Jn – Wilmslow South Jn	162	62	176	53	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0821	13	NW5001	CMP1	"Wilmslow South Jn – Cheadle Hulme North
Jn"	176	53	180	67	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0821	14	NW5001	CMP1	Cheadle Hulme North Jn - Edgeley Jn No.1	180	67	182	36	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0821	15	NW5001	CMP2	Edgeley Jn No.1 - Edgeley Jn	182	36	182	59	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0821	16	NW5001	CMP2	Edgeley Jn – Slade Lane Jn	182	59	186	46	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0821	17	NW5001	CMP2	Slade Lane Jn – Ardwick Jn	186	46	188	08	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0821	18	NW5001	CMP2	Ardwick Jn – Manchester Piccadilly East Jn	188	08	188	48	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0821	19	NW5001	CMP2	"Manchester Piccadilly East Jn –
Manchester Piccadilly"	188	48	188	70	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0821	20	NW5003	STY	"Wilmslow South Jn – Heald Green South
Jn"	0	00	2	50	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0821	21	NW5003	STY	"Heald Green South Jn – Heald Green
North Jn"	2	50	3	13	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0821	22	NW5003	STY	Heald Green North Jn – Slade Lane Jn	3	13	9	44	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0821	23	NW5005	SMA	"Heald Green South Jn – Heald Green West
Jn"	1	48	1	10	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
Route	page	seq	Line of route	ELR	Line of Route/Sector Description	M	Ch	M	Ch	121	142	143	144	150	153	155	156	158	159	Notes
London-North-Western-North	0822	1	NW5007	MIA	Manchester Airport – Heald Green North Jn	0	00	1	51	Y	Y	Y	Y	Y	Y	Y	Y	Y	N	
London-North-Western-North	0822	2	NW5008	LEC6	"Little Bridgeford Jn – Searchlight Lane Jn
(Change of ELR and mileage) (Up line only)"	137	42	138	55	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
